alpha,cv_mse,cv_std
0.00394420605943766,1.57711241805162e-05,4.43618773141687e-06
0.004328761281083062,1.57711241805162e-05,4.43618773141687e-06
0.0047508101621027985,1.57711241805162e-05,4.43618773141687e-06
0.00521400828799969,1.57711241805162e-05,4.43618773141687e-06
0.00572236765935022,1.57711241805162e-05,4.43618773141687e-06
0.00628029144183426,1.57711241805162e-05,4.43618773141687e-06
0.006892612104349702,1.57711241805162e-05,4.43618773141687e-06
0.007564633275546291,1.57711241805162e-05,4.43618773141687e-06
0.008302175681319753,1.57711241805162e-05,4.43618773141687e-06
0.009111627561154896,1.57711241805162e-05,4.43618773141687e-06
0.01,1.57711241805162e-05,4.43618773141687e-06
