date,trade_max,sanctions_max,fed_pressure_max
2018-08-27,10.0,0.0,0.0
2018-08-28,40.0,10.0,0.0
2018-08-29,20.0,0.0,20.0
2018-08-30,5.0,3.0,0.0
2018-08-31,34.0,0.0,0.0
2018-09-01,70.0,20.0,50.0
2018-09-02,0.0,0.0,0.0
2018-09-03,55.0,0.0,0.0
2018-09-04,0.0,0.0,0.0
2018-09-05,0.0,0.0,0.0
2018-09-06,0.0,0.0,0.0
2018-09-07,20.0,0.0,0.0
2018-09-08,40.0,0.0,0.0
2018-09-09,45.0,0.0,0.0
2018-09-10,40.0,0.0,0.0
2018-09-11,0.0,0.0,0.0
2018-09-12,0.0,0.0,0.0
2018-09-13,40.0,0.0,0.0
2018-09-14,45.0,65.0,0.0
2018-09-15,15.0,0.0,0.0
2018-09-16,0.0,0.0,0.0
2018-09-17,20.0,0.0,0.0
2018-09-18,65.0,20.0,0.0
2018-09-19,0.0,57.0,0.0
2018-09-20,45.0,0.0,0.0
2018-09-21,0.0,25.0,0.0
2018-09-22,0.0,0.0,0.0
2018-09-23,20.0,0.0,0.0
2018-09-24,40.0,5.0,0.0
2018-09-25,0.0,0.0,0.0
2018-09-26,85.0,0.0,0.0
2018-09-27,0.0,0.0,0.0
2018-09-28,0.0,0.0,0.0
2018-09-29,0.0,0.0,0.0
2018-09-30,0.0,0.0,0.0
2018-10-01,40.0,0.0,0.0
2018-10-02,10.0,5.0,5.0
2018-10-03,40.0,0.0,0.0
2018-10-04,0.0,0.0,0.0
2018-10-05,0.0,0.0,0.0
2018-10-06,0.0,0.0,0.0
2018-10-07,0.0,0.0,0.0
2018-10-08,0.0,0.0,0.0
2018-10-09,0.0,0.0,40.0
2018-10-10,0.0,0.0,0.0
2018-10-11,0.0,0.0,0.0
2018-10-12,20.0,40.0,0.0
2018-10-13,0.0,88.0,0.0
2018-10-14,0.0,20.0,0.0
2018-10-15,20.0,0.0,0.0
2018-10-16,20.0,89.0,0.0
2018-10-17,40.0,70.0,20.0
2018-10-18,40.0,40.0,0.0
2018-10-19,0.0,0.0,0.0
2018-10-20,0.0,0.0,0.0
2018-10-21,0.0,0.0,0.0
2018-10-22,40.0,30.0,0.0
2018-10-23,75.0,40.0,74.0
2018-10-24,10.0,0.0,0.0
2018-10-25,0.0,0.0,0.0
2018-10-26,0.0,0.0,0.0
2018-10-27,0.0,0.0,0.0
2018-10-28,0.0,0.0,0.0
2018-10-29,20.0,0.0,0.0
2018-10-30,50.0,0.0,25.0
2018-10-31,40.0,0.0,0.0
2018-11-01,40.0,0.0,0.0
2018-11-02,0.0,0.0,0.0
2018-11-03,40.0,20.0,0.0
2018-11-04,0.0,0.0,0.0
2018-11-05,0.0,0.0,0.0
2018-11-06,0.0,0.0,0.0
2018-11-07,20.0,0.0,0.0
2018-11-08,0.0,0.0,0.0
2018-11-09,0.0,57.0,0.0
2018-11-10,0.0,0.0,0.0
2018-11-11,0.0,0.0,0.0
2018-11-12,85.0,35.0,0.0
2018-11-13,75.0,0.0,0.0
2018-11-14,20.0,0.0,0.0
2018-11-15,0.0,0.0,0.0
2018-11-16,0.0,0.0,0.0
2018-11-17,0.0,0.0,0.0
2018-11-18,0.0,0.0,0.0
2018-11-19,65.0,30.0,0.0
2018-11-20,0.0,0.0,0.0
2018-11-21,0.0,0.0,0.0
2018-11-22,20.0,0.0,0.0
2018-11-23,0.0,0.0,0.0
2018-11-24,40.0,0.0,0.0
2018-11-25,50.0,0.0,50.0
2018-11-26,0.0,20.0,0.0
2018-11-27,70.0,20.0,0.0
2018-11-28,50.0,10.0,0.0
2018-11-29,70.0,0.0,0.0
