date,trade_sum_ma5,sanctions_sum_ma5,fed_pressure_sum_ma5
2018-04-03,59.0,16.4,1.0
2018-04-04,83.0,24.4,1.0
2018-04-05,90.0,28.4,1.0
2018-04-06,93.0,13.0,1.0
2018-04-07,78.0,13.0,1.0
2018-04-08,77.0,15.4,0.0
2018-04-09,63.0,7.4,0.0
2018-04-10,60.0,3.4,0.0
2018-04-11,43.6,13.4,0.0
2018-04-12,37.6,13.4,8.0
2018-04-13,39.0,10.0,8.0
2018-04-14,29.0,10.0,8.0
2018-04-15,17.0,10.0,8.0
2018-04-16,22.2,7.0,21.6
2018-04-17,34.2,7.0,13.6
2018-04-18,40.8,7.0,13.6
2018-04-19,42.8,8.0,14.6
2018-04-20,50.8,16.0,14.6
2018-04-21,42.0,20.4,1.0
2018-04-22,34.0,20.4,1.0
2018-04-23,26.0,20.4,1.0
2018-04-24,24.0,19.4,0.0
2018-04-25,24.0,11.4,0.0
2018-04-26,32.0,4.0,0.0
2018-04-27,26.0,4.0,0.0
2018-04-28,26.0,4.0,0.0
2018-04-29,26.0,4.0,0.0
2018-04-30,22.0,4.0,0.0
2018-05-01,24.0,4.0,0.0
2018-05-02,26.0,4.0,0.0
2018-05-03,20.0,4.0,0.0
2018-05-04,20.0,4.0,0.0
2018-05-05,24.0,4.0,0.0
2018-05-06,14.0,0.0,0.0
2018-05-07,17.6,8.4,0.0
2018-05-08,24.6,24.4,0.0
2018-05-09,25.6,25.4,1.0
2018-05-10,17.6,29.4,1.0
2018-05-11,21.6,35.0,1.0
2018-05-12,18.0,34.6,1.0
2018-05-13,29.0,25.6,1.0
2018-05-14,33.0,27.2,0.4
2018-05-15,42.0,23.2,0.4
2018-05-16,47.0,17.6,0.4
2018-05-17,45.0,9.6,0.4
2018-05-18,25.0,2.6,0.4
2018-05-19,20.0,0.0,0.0
2018-05-20,11.0,0.0,0.0
2018-05-21,23.0,0.0,0.0
2018-05-22,21.0,0.0,0.0
2018-05-23,37.0,4.0,0.0
2018-05-24,37.0,4.0,0.0
2018-05-25,57.0,8.0,0.0
2018-05-26,36.0,9.0,0.0
2018-05-27,36.0,9.0,0.0
2018-05-28,22.8,5.0,0.0
2018-05-29,28.4,5.0,0.0
2018-05-30,8.4,1.0,0.0
2018-05-31,16.4,0.0,0.0
2018-06-01,24.4,0.0,0.0
2018-06-02,47.6,0.0,0.0
2018-06-03,42.0,0.0,0.0
2018-06-04,72.0,3.0,0.0
2018-06-05,78.0,3.0,0.0
2018-06-06,70.0,3.0,0.0
2018-06-07,76.0,14.0,19.0
2018-06-08,118.0,14.0,19.0
2018-06-09,136.0,18.0,19.0
2018-06-10,122.0,18.0,19.0
2018-06-11,157.0,24.0,19.0
2018-06-12,125.0,24.4,0.0
2018-06-13,88.0,24.4,0.0
2018-06-14,40.0,17.4,0.0
2018-06-15,46.0,18.4,1.0
2018-06-16,11.0,12.4,1.0
2018-06-17,19.0,16.4,1.0
2018-06-18,27.0,16.4,1.0
2018-06-19,28.0,16.4,1.0
2018-06-20,24.0,15.4,0.0
2018-06-21,32.0,15.4,0.0
2018-06-22,63.2,8.0,0.0
2018-06-23,66.2,16.0,0.0
2018-06-24,81.2,16.0,0.0
2018-06-25,103.2,16.0,0.0
2018-06-26,120.4,20.0,0.0
2018-06-27,93.8,12.0,0.0
2018-06-28,77.8,4.0,0.0
2018-06-29,63.8,4.0,0.0
2018-06-30,39.8,6.2,0.0
2018-07-01,14.6,2.2,0.0
2018-07-02,2.0,2.2,0.0
2018-07-03,18.0,2.2,0.0
2018-07-04,24.0,2.2,0.0
2018-07-05,24.0,0.0,0.0
2018-07-06,24.0,0.0,0.0
2018-07-07,24.0,0.0,0.0
2018-07-08,12.0,8.0,0.0
2018-07-09,31.0,14.0,0.0
2018-07-10,67.0,14.0,0.0
2018-07-11,94.4,29.0,0.0
2018-07-12,102.4,34.0,0.0
2018-07-13,99.4,26.6,0.4
2018-07-14,85.4,20.6,0.4
2018-07-15,54.4,24.6,0.4
2018-07-16,27.0,9.6,0.4
2018-07-17,31.0,4.6,0.4
2018-07-18,38.0,19.0,8.0
2018-07-19,33.0,37.0,8.0
2018-07-20,48.0,33.0,21.0
2018-07-21,48.0,33.0,21.0
2018-07-22,36.0,33.0,21.0
2018-07-23,28.0,37.0,13.0
2018-07-24,38.0,34.4,13.0
2018-07-25,56.0,34.4,0.0
2018-07-26,61.0,52.0,0.0
2018-07-27,71.0,52.0,0.0
2018-07-28,71.0,33.0,0.0
2018-07-29,61.0,17.6,0.0
2018-07-30,23.0,17.6,0.0
2018-07-31,28.0,4.0,1.0
2018-08-01,18.0,4.0,1.0
2018-08-02,27.0,4.0,1.0
2018-08-03,19.0,4.0,1.0
2018-08-04,27.0,4.0,1.0
2018-08-05,25.0,0.0,0.0
2018-08-06,34.0,0.0,0.0
2018-08-07,25.0,18.2,0.0
2018-08-08,35.0,18.2,0.0
2018-08-09,27.0,18.2,0.0
2018-08-10,57.0,36.2,0.0
2018-08-11,48.0,36.2,0.0
2018-08-12,64.0,18.0,0.0
2018-08-13,54.0,18.0,8.0
2018-08-14,56.0,19.0,8.0
2018-08-15,26.0,3.0,8.0
2018-08-16,34.0,18.4,8.0
2018-08-17,26.0,26.4,16.0
2018-08-18,30.0,26.4,16.0
2018-08-19,28.0,25.4,16.0
2018-08-20,32.0,31.4,16.0
2018-08-21,24.0,16.0,16.0
2018-08-22,16.0,8.0,8.0
2018-08-23,22.0,8.0,0.0
2018-08-24,31.0,8.0,0.0
2018-08-25,32.0,0.0,0.0
2018-08-26,32.0,0.0,0.0
2018-08-27,34.0,0.0,0.0
2018-08-28,32.0,2.0,0.0
2018-08-29,27.0,2.0,4.0
2018-08-30,15.0,2.6,4.0
2018-08-31,21.8,2.6,4.0
2018-09-01,68.0,8.6,14.0
2018-09-02,60.0,6.6,14.0
2018-09-03,67.0,6.6,10.0
2018-09-04,66.0,6.0,10.0
2018-09-05,59.2,6.0,10.0
2018-09-06,11.0,0.0,0.0
2018-09-07,15.0,0.0,0.0
2018-09-08,12.0,0.0,0.0
2018-09-09,29.0,0.0,0.0
2018-09-10,39.0,0.0,0.0
2018-09-11,39.0,0.0,0.0
2018-09-12,35.0,0.0,0.0
2018-09-13,35.0,0.0,0.0
2018-09-14,27.0,13.0,0.0
2018-09-15,20.0,13.0,0.0
2018-09-16,20.0,13.0,0.0
2018-09-17,24.0,13.0,0.0
2018-09-18,29.0,17.0,0.0
2018-09-19,20.0,15.4,0.0
2018-09-20,30.0,15.4,0.0
2018-09-21,30.0,20.4,0.0
2018-09-22,26.0,20.4,0.0
2018-09-23,17.0,16.4,0.0
2018-09-24,31.0,6.0,0.0
2018-09-25,18.0,6.0,0.0
2018-09-26,35.0,1.0,0.0
2018-09-27,35.0,1.0,0.0
2018-09-28,31.0,1.0,0.0
2018-09-29,17.0,0.0,0.0
2018-09-30,17.0,0.0,0.0
2018-10-01,8.0,0.0,0.0
2018-10-02,11.0,1.0,1.0
2018-10-03,25.0,1.0,1.0
2018-10-04,25.0,1.0,1.0
2018-10-05,25.0,1.0,1.0
2018-10-06,17.0,1.0,1.0
2018-10-07,14.0,0.0,0.0
2018-10-08,0.0,0.0,0.0
2018-10-09,0.0,0.0,8.0
2018-10-10,0.0,0.0,8.0
